scale,tiles,n,m,run,seed,algorithm,objective_type,status,objective,runtime,bbox_width,bbox_height,num_tiles,total_crossovers,crossovers_needing_completion,total_tiles_completed,completion_rate,avg_tiles_per_incomplete
small,6,3,3,1,42,greedy,area,success,44,0.003833116,11,4,6,,,,,
small,6,3,3,1,42,stochastic_greedy,area,success,52,0.003251908,4,13,6,,,,,
small,6,3,3,1,42,genetic_greedy,area,success,44,0.108045223,11,4,6,12610,0,0,0.0,
small,6,3,3,1,42,genetic_stochastic,area,success,44,0.117424567,11,4,6,12640,200,596,0.015822784810126583,2.98
small,6,3,3,2,142,greedy,area,success,48,0.003235591,16,3,6,,,,,
small,6,3,3,2,142,stochastic_greedy,area,success,44,0.002121391,11,4,6,,,,,
small,6,3,3,2,142,genetic_greedy,area,success,44,0.108279824,11,4,6,12604,128,443,0.010155506188511583,3.4609375
small,6,3,3,2,142,genetic_stochastic,area,success,42,0.304464244,7,6,6,12608,2073,5284,0.16441941624365483,2.5489628557645925
small,6,3,3,3,242,greedy,area,success,48,0.001883819,12,4,6,,,,,
small,6,3,3,3,242,stochastic_greedy,area,success,44,0.001819785,11,4,6,,,,,
small,6,3,3,3,242,genetic_greedy,area,success,44,0.159686007,11,4,6,12638,105,302,0.008308276626048425,2.876190476190476
small,6,3,3,3,242,genetic_stochastic,area,success,44,0.102477975,11,4,6,12593,92,311,0.007305645993806083,3.380434782608696
small,6,3,3,4,342,greedy,area,success,36,0.001451497,3,12,6,,,,,
small,6,3,3,4,342,stochastic_greedy,area,success,36,0.001722295,3,12,6,,,,,
small,6,3,3,4,342,genetic_greedy,area,success,36,0.075575015,3,12,6,12623,2,5,0.00015844094113919038,2.5
small,6,3,3,4,342,genetic_stochastic,area,success,36,0.11615138,3,12,6,12572,354,1360,0.02815781100859052,3.84180790960452
small,6,3,3,5,442,greedy,area,success,48,0.002241863,4,12,6,,,,,
small,6,3,3,5,442,stochastic_greedy,area,success,51,0.002588427,3,17,6,,,,,
small,6,3,3,5,442,genetic_greedy,area,success,40,0.126762827,5,8,6,12546,121,367,0.00964450820978798,3.0330578512396693
small,6,3,3,5,442,genetic_stochastic,area,success,40,0.29254743,8,5,6,12508,2333,4923,0.18652062679884873,2.110158594084869
small,6,3,3,6,542,greedy,area,success,42,0.003085272,14,3,6,,,,,
small,6,3,3,6,542,stochastic_greedy,area,success,42,0.003035066,14,3,6,,,,,
small,6,3,3,6,542,genetic_greedy,area,success,45,0.140183077,5,9,6,12591,80,216,0.006353744738305139,2.7
small,6,3,3,6,542,genetic_stochastic,area,success,42,0.143135897,14,3,6,12565,327,1041,0.02602467170712296,3.18348623853211
small,6,3,3,7,642,greedy,area,success,42,0.002021751,3,14,6,,,,,
small,6,3,3,7,642,stochastic_greedy,area,success,42,0.001848511,3,14,6,,,,,
small,6,3,3,7,642,genetic_greedy,area,success,40,0.097273303,10,4,6,12575,42,52,0.0033399602385685884,1.2380952380952381
small,6,3,3,7,642,genetic_stochastic,area,success,36,0.066067102,9,4,6,12580,104,351,0.008267090620031796,3.375
small,6,3,3,8,742,greedy,area,success,40,0.001791664,8,5,6,,,,,
small,6,3,3,8,742,stochastic_greedy,area,success,40,0.001661752,8,5,6,,,,,
