algorithm,case_name,objective_type,tiles,n,m,r,L,num_input_strings,total_generated,duplicates_removed,num_runs,successful_runs,obj_mean,obj_min,obj_max,obj_std,runtime_mean,runtime_min,runtime_max,runtime_std
genetic_greedy,2_5_1_175,area,142,2,5,1,175,14,154,12,1,1,302.0,302,302,0,137.370679399,137.370679399,137.370679399,0
genetic_stochastic,2_5_1_175,area,142,2,5,1,175,14,154,12,1,1,298.0,298,298,0,477.465855432,477.465855432,477.465855432,0
genetic_greedy,2_5_1_175,square,142,2,5,1,175,14,154,12,1,1,21.0,21,21,0,438.178425,438.178425,438.178425,0
genetic_stochastic,2_5_1_175,square,142,2,5,1,175,14,154,12,1,1,21.0,21,21,0,297.425105,297.425105,297.425105,0
genetic_greedy,2_5_1_177,area,143,2,5,1,177,13,143,0,1,1,306.0,306,306,0,311.678749015,311.678749015,311.678749015,0
genetic_stochastic,2_5_1_177,area,143,2,5,1,177,13,143,0,1,1,302.0,302,302,0,333.990479566,333.990479566,333.990479566,0
genetic_greedy,2_5_1_177,square,143,2,5,1,177,13,143,0,1,1,21.0,21,21,0,293.086163,293.086163,293.086163,0
genetic_stochastic,2_5_1_177,square,143,2,5,1,177,13,143,0,1,1,21.0,21,21,0,270.028792,270.028792,270.028792,0
genetic_greedy,2_6_2_161,area,117,2,6,2,161,9,117,0,1,1,270.0,270,270,0,170.565076827,170.565076827,170.565076827,0
genetic_stochastic,2_6_2_161,area,117,2,6,2,161,9,117,0,1,1,268.0,268,268,0,369.443936935,369.443936935,369.443936935,0
genetic_greedy,2_6_2_161,square,117,2,6,2,161,9,117,0,1,1,20.0,20,20,0,204.577617,204.577617,204.577617,0
genetic_stochastic,2_6_2_161,square,117,2,6,2,161,9,117,0,1,1,20.0,20,20,0,221.511515,221.511515,221.511515,0
genetic_greedy,2_7_3_239,area,149,2,7,3,239,10,150,1,1,1,354.0,354,354,0,507.692102048,507.692102048,507.692102048,0
genetic_stochastic,2_7_3_239,area,149,2,7,3,239,10,150,1,1,1,352.0,352,352,0,693.710514597,693.710514597,693.710514597,0
genetic_greedy,2_7_3_239,square,149,2,7,3,239,10,150,1,1,1,23.0,23,23,0,540.746826,540.746826,540.746826,0
genetic_stochastic,2_7_3_239,square,149,2,7,3,239,10,150,1,1,1,22.0,22,22,0,556.217967,556.217967,556.217967,0
genetic_greedy,3_3_1_102,area,67,3,3,1,102,8,80,13,1,1,210.0,210,210,0,32.019286687,32.019286687,32.019286687,0
genetic_stochastic,3_3_1_102,area,67,3,3,1,102,8,80,13,1,1,196.0,196,196,0,46.016412711,46.016412711,46.016412711,0
genetic_greedy,3_3_1_102,square,67,3,3,1,102,8,80,13,1,1,14.0,14,14,0,29.155215,29.155215,29.155215,0
genetic_stochastic,3_3_1_102,square,67,3,3,1,102,8,80,13,1,1,14.0,14,14,0,32.842832,32.842832,32.842832,0
genetic_greedy,3_4_2_161,area,117,3,4,2,161,9,117,0,1,1,384.0,384,384,0,239.735592404,239.735592404,239.735592404,0
genetic_stochastic,3_4_2_161,area,117,3,4,2,161,9,117,0,1,1,378.0,378,378,0,461.048877212,461.048877212,461.048877212,0
genetic_greedy,3_4_2_161,square,117,3,4,2,161,9,117,0,1,1,19.0,19,19,0,151.587152,151.587152,151.587152,0
genetic_stochastic,3_4_2_161,square,117,3,4,2,161,9,117,0,1,1,20.0,20,20,0,211.243369,211.243369,211.243369,0
genetic_greedy,3_5_3_406,area,150,3,5,3,406,10,150,0,1,1,510.0,510,510,0,924.870714003,924.870714003,924.870714003,0
genetic_stochastic,3_5_3_406,area,150,3,5,3,406,10,150,0,1,1,507.0,507,507,0,677.127716007,677.127716007,677.127716007,0
genetic_greedy,3_5_3_406,square,150,3,5,3,406,10,150,0,1,1,22.0,22,22,0,498.212959,498.212959,498.212959,0
genetic_stochastic,3_5_3_406,square,150,3,5,3,406,10,150,0,1,1,24.0,24,24,0,607.166256,607.166256,607.166256,0
